60492,116649,AAPL,174.546,100
295368,174067,AAPL,155.946,50
83426,174067,AAPL,155.946,50
83426,175011,AAPL,101.716,50
65123,175011,AAPL,101.716,50
65123,198315,AAPL,140.568,50
279802,198315,AAPL,140.568,50
203526,106996,AAPL,109.756,50
94324,106996,AAPL,109.756,50
94324,161313,AAPL,108.2,50
99170,253895,AAPL,109.007,50
99170,161313,AAPL,108.2,50
226808,192754,AAPL,125.98,50
90364,295060,AAPL,128.332,50
90364,192754,AAPL,125.98,50
280570,144043,AAPL,161.054,50
98586,144043,AAPL,161.054,50
98586,260756,AAPL,142.965,50
12902,128444,AAPL,128.323,100
29689,120709,AAPL,104.384,100
64683,244729,AAPL,132.485,50
64683,173317,AAPL,145.665,50
63368,173317,AAPL,145.665,50
63368,106219,AAPL,148.955,50
297488,106219,AAPL,148.955,50
93451,232871,AAPL,149.006,50
93451,148094,AAPL,168.967,50
41500,148094,AAPL,168.967,50
41500,189172,AAPL,169.716,50
48365,189172,AAPL,169.716,50
48365,224914,AAPL,172.673,50
261237,168858,AAPL,141.728,50
76121,168858,AAPL,141.728,50
76121,135928,AAPL,126.262,50
2651,222404,AAPL,126.769,50
2651,135928,AAPL,126.262,50
36840,270688,AAPL,143.2,50
36840,102904,AAPL,144.293,50
87743,159470,AAPL,136.277,100
68139,295499,AAPL,137.352,50
238082,102904,AAPL,144.293,50
68139,159708,AAPL,173.668,50
28804,176348,AAPL,149.52,100
221801,123311,AAPL,126.925,50
55422,123311,AAPL,126.925,50
78736,227828,AAPL,150.927,50
78736,203465,AAPL,164.473,50
67637,179444,AAPL,166.938,100
90071,100973,AAPL,144.552,100
213773,142062,AAPL,168.021,50
87981,232036,AAPL,168.05,50
87981,142062,AAPL,168.021,50
16466,159708,AAPL,173.668,50
16466,157034,AAPL,173.71,50
284930,169179,AAPL,138.494,50
289412,219301,AAPL,135.427,50
19756,166342,AAPL,136.021,100
239811,169179,AAPL,138.494,50
44599,117721,AAPL,169.721,100
29150,157034,AAPL,173.71,50
29150,218149,AAPL,175.996,50
40084,179292,AAPL,139.474,100
6042,273850,AAPL,143.674,50
6042,183898,AAPL,161.196,50
99336,121860,AAPL,138.852,100
90613,137732,AAPL,153.097,100
2021,218004,AAPL,153.157,50
2021,183898,AAPL,161.196,50
18808,256190,AAPL,161.485,50
233333,102954,AAPL,176.568,50
18808,102954,AAPL,176.568,50
245884,238046,AAPL,110.793,50
47255,190368,AAPL,116.602,100
3033,290027,AAPL,176.613,50
3033,192921,AAPL,178.121,50
294892,149157,AAPL,168.997,50
9188,208902,AAPL,140.88,50
9188,178050,AAPL,141.745,50
32002,178050,AAPL,141.745,50
32002,149157,AAPL,168.997,50
216127,104339,AAPL,163.828,50
82134,104339,AAPL,163.828,50
82134,195343,AAPL,150.787,50
202900,195343,AAPL,150.787,50
36429,192292,AAPL,118.94,100
256042,232460,AAPL,170.221,50
569,192921,AAPL,178.121,50
569,227684,AAPL,180.479,50
88027,103190,AAPL,136.524,100
290358,206367,AAPL,137.43,50
26057,104916,AAPL,133.321,100
26309,293529,AAPL,134.062,50
218627,149614,AAPL,167.789,50
19080,190428,AAPL,181.579,100
26309,114412,AAPL,129.965,50
25210,258969,AAPL,132.375,50
25210,114412,AAPL,129.965,50
34994,198987,AAPL,119.516,100
55422,224566,AAPL,119.598,50
273059,149614,AAPL,167.789,50
72260,110873,AAPL,118.585,100
45729,210699,AAPL,101.697,50
20090,103493,AAPL,102.94,100
45729,113173,AAPL,143.016,50
55115,113173,AAPL,143.016,50
55115,289438,AAPL,161.671,50
93740,191100,AAPL,162.685,100
217462,161796,AAPL,107.934,50
28794,274580,AAPL,109.59,50
28794,161796,AAPL,107.934,50
253144,299904,AAPL,120.302,50
17988,194977,AAPL,122.865,100
31011,193499,AAPL,118.029,100
40049,121244,AAPL,122.136,100
11574,128993,AAPL,129.48,100
38377,174762,AAPL,153.091,100
60235,232919,AAPL,155.491,50
223943,191521,AAPL,164.9,50
60235,191521,AAPL,164.9,50
94018,169633,AAPL,109.519,100
36503,177217,AAPL,159.811,100
287560,109485,AAPL,160.109,50
87677,171137,AAPL,168.037,100
214639,122532,AAPL,103.27,50
